poi_id,poi_type,poi_name,latitude,longitude,radius_meters
398,ATM,ATM [RUS-Moscow],55.7316611,37.66722,500
399,ATM,ATM [RUS-Moscow],55.7307038,37.67448,500
400,ATM,ATM [RUS-Moscow],55.7892328,37.68007,500
401,ATM,ATM [RUS-Moscow],55.7734879,37.68143,500
402,ATM,ATM [RUS-Moscow],55.7067678,37.68493,500
403,ATM,ATM [RUS-Moscow],55.7838797,37.69297,500
404,ATM,ATM [RUS-Moscow],55.8045128,37.71405,500
405,ATM,ATM [RUS-Moscow],55.6917852,37.72863,500
406,ATM,ATM [RUS-Moscow],55.8154589,37.73365,500
407,ATM,ATM [RUS-Moscow],55.6503909,37.7440799,500
408,ATM,ATM [RUS-Moscow],55.7884106,37.74921,500
409,ATM,ATM [RUS-Moscow],55.6587739,37.7502,500
410,ATM,ATM [RUS-Moscow],55.6764477,37.76108,500
411,ATM,ATM [RUS-Moscow],55.7600734,37.77255,500
412,ATM,ATM [RUS-Novorossiysk],44.7188114,37.77784,500
413,ATM,ATM [RUS-Moscow],55.7972846,37.78279,500
414,ATM,ATM [RUS-Moscow],55.810749,37.79711,500
415,ATM,ATM [RUS-Moscow],55.7156429,37.79765,500
416,ATM,ATM [RUS-Moscow],55.7936899,37.79798,500
417,ATM,ATM [RUS-Moscow],55.8081831,37.79924,500
418,ATM,ATM [RUS-Volgograd],48.7586507,44.5014899,500
419,ATM,ATM [RUS-Volgograd],48.7167889,44.50944,500
420,ATM,ATM [RUS-Volgograd],48.7038072,44.51565,500
421,ATM,ATM [RUS-Volgograd],48.7070011,44.51814,500
422,ATM,ATM [RUS-Volgograd],48.7095408,44.52039,500
423,ATM,ATM [RUS-Volgograd],48.7253105,44.53686,500
424,ATM,ATM [RUS-Zhirnovsk],50.9786259,44.77666,500
425,ATM,ATM [RUS-Zhirnovsk],50.9737094,44.78252,500
426,Bank,Bank [RUS-Kaliningrad],54.7164212,20.5045499,500
427,Bank,Bank [RUS-Kaliningrad],54.720346,20.5122399,500
428,Bank,Bank [RUS-Zelenogorsk],60.197195,29.70582,500
429,Bank,Bank [RUS-Vishniy Volochek],57.5890427,34.55583,500
430,Bank,Bank [RUS-Zvenigorod],55.73208,36.85503,500
431,Bank,Bank [RUS-Istra],55.9138556,36.8587,500
432,Bank,Bank [RUS-Golicino],55.6298615,37.00668,500
433,Bank,Bank [RUS-Rogachevo],56.4281771,37.17969,500
434,Bank,Bank [RUS-Moscow],55.7852892,37.3574,500
435,Bank,Bank [RUS-Serpuchov],54.9127213,37.41661,500
436,Bank,Bank [RUS-Moscow],55.7215944,37.43753,500
437,Bank,Bank [RUS-Moscow],55.8320455,37.48757,500
438,Bank,Bank [RUS-Moscow],55.6736868,37.48825,500
439,Bank,Bank [RUS-Moscow],55.6562294,37.4955799,500
440,Bank,Bank [RUS-Moscow],55.8081477,37.51329,500
441,Bank,Bank [RUS-Moscow],55.7400985,37.53102,500
442,Bank,Bank [RUS-Moscow],55.7987691,37.53713,500
443,Bank,Bank [RUS-Moscow],55.6189651,37.54383,500
444,Bank,Bank [RUS-Moscow],55.6655975,37.54506,500
445,Bank,Bank [RUS-Moscow],55.7947407,37.54798,500
446,Bank,Bank [RUS-Moscow],55.7469868,37.55589,500
447,Bank,Bank [RUS-Moscow],55.7192693,37.57186,500
448,Bank,Bank [RUS-Sherbinka],55.5104832,37.57438,500
449,Bank,Bank [RUS-Moscow],55.7090359,37.59782,500
450,Bank,Bank [RUS-Moscow],55.7216842,37.60148,500
451,Bank,Bank [RUS-Moscow],55.7254498,37.62159,500
452,Bank,Bank [RUS-Moscow],55.7220313,37.62713,500
453,Bank,Bank [RUS-Moscow],55.7424426,37.62856,500
454,Bank,Bank [RUS-Moscow],55.7370801,37.63095,500
455,Bank,Bank [RUS-Moscow],55.7787564,37.72658,500
456,Bank,Bank [RUS-Moscow],55.659076,37.74696,500
457,Bank,Bank [RUS-Moscow],55.6600173,37.75348,500
458,Bank,Bank [RUS-Novorossisk],44.7222328,37.77073,500
459,Bank,Bank [RUS-Pyatigorsk],44.0586733,43.06026,500
460,Bank,Bank [RUS-Volgograd],48.7683176,44.4984899,500
461,Bank,Bank [RUS-Volgograd],48.7468091,44.50194,500
462,Bank,Bank [RUS-Volgograd],48.7180393,44.50728,500
463,Bank,Bank [RUS-Volgograd],48.7169416,44.50903,500
464,Bank,Bank [RUS-Volgograd],48.7038561,44.5135,500
465,Bank,Bank [RUS-Volgograd],48.7036929,44.51554,500
466,Bank,Bank [RUS-Volgograd],48.7080175,44.51797,500
467,Bank,Bank [RUS-Volgograd],48.7175816,44.52679,500
